"GEOID","year","population"
"2430653",2002,1338.46696412573
"2430665",2002,1243.28970207479
"2430675",2002,924.674830810949
"2430325",2002,914.666333465055
"2430355",2002,5744.21213059722
"2430602",2002,2542.41574596456
"2430832",2002,860.066945491484
"2430937",2002,1376.15369673053
"2430942",2002,1186.07439527006
"1505070",2002,0
"1505140",2002,1908.04836728018
"2430092",2002,1387.96960272093
"1110100",2002,2487.44245356206
"1110250",2002,741.592566191814
"2810630",2002,1797.01677525099
"2430141",2002,420.191868063819
"2430155",2002,632.34989667435
"3935150",2002,568.184405639231
"3970800",2002,562.164696519633
"2810800",2002,5355.89574999073
"4290850",2002,491.002476111054
"5550235",2002,122.908021100156
"5550240",2002,335.166382857831
"5550245",2002,1836.79110891512
"5550250",2002,695.542216007423
"3100700",2002,1308.39134830423
"3100750",2002,2160.53928231925
"5550255",2002,148.823331949301
"3970550",2002,614.740587434054
"3970200",2002,2508.51672018985
"3970100",2002,926.494127063035
"3970300",2002,344.734119204386
"3235670",2002,208.391088334924
"1160450",2002,1150.59198960664
"5550415",2002,357.871091013192
"5550420",2002,46.9703944264329
"5550425",2002,298.61944125779
"5550435",2002,3584.17608722369
"5550440",2002,596.546486127656
"5550445",2002,1474.25453451369
"5550450",2002,861.103524794336
"5550463",2002,393.061202204786
"5550453",2002,280.797855034471
"5550458",2002,159.829555253033
"5550470",2002,303.272852533439
"5550475",2002,169.027602932416
"5550480",2002,432.826325731818
"5550485",2002,519.57343685301
"5550155",2002,14286.418477229
"5550165",2002,27220.5063436253
"5550353",2002,35156.0890277636
"5550333",2002,1947.22593473503
"5550380",2002,22117.6805703322
"5550405",2002,10558.9103597883
"5550430",2002,7170.42500541946
"5550505",2002,66495.4117154034
"5550540",2002,30349.8935516344
"5550640",2002,106658.766583233
"5550660",2002,4857.502639452
"5550030",2002,460.954804128502
"3235420",2002,716.682076485435
"3235520",2002,1763.92166170076
"3235540",2002,1301.78491763059
"3235600",2002,214.379730721193
"3235650",2002,337.553317418238
"5550575",2002,69.8132973322645
"5550580",2002,0
"5550585",2002,258.464410522953
"5550590",2002,221.732668430312
"5550595",2002,156.025554700987
"5550600",2002,76.3055088133551
"5550605",2002,11.6579241242725
"5550610",2002,24.6954810563475
"5550615",2002,579.506438858691
"5550620",2002,351.017712618341
"5550630",2002,162.259407396894
"2430530",2002,1609.15842715514
"2430540",2002,565.599744548817
"2430730",2002,718.694457268371
"2430735",2002,8200.26547009735
"2430710",2002,1029.40709622101
"2430815",2002,1196.02414146925
"2430820",2002,1499.72645282868
"2430825",2002,1122.3851618249
"2430830",2002,1264.93108333157
"2430860",2002,2197.73176843219
"2430865",2002,1391.61237144759
"2430960",2002,1069.39894777998
"1160650",2002,277.198151399185
"0605500",2002,1819.4732495401
"0605600",2002,776.317247102383
"2810850",2002,2028.89817511143
"2810870",2002,1688.63044529443
"1160600",2002,2212.54807416622
"5550625",2002,498.938077289029
"1150400",2002,1058.19367157226
"1150550",2002,420.141979353408
"0855100",2002,180.332614513783
"5550665",2002,49380.8295863063
"2430160",2002,1424.79091291651
"2430260",2002,5789.92654744271
"2430280",2002,2445.33466845059
"2430290",2002,1226.1793659742
"2430862",2002,680.028278831582
"2430880",2002,2293.05794512632
"5550180",2002,33.3281712140888
"5550185",2002,45.6315986952977
"5550190",2002,292.748986138962
"5550195",2002,614.913201757794
"5590075",2002,17504.937995788
"3340100",2002,713.484676271677
"2430695",2002,13.3666736752784
"5550260",2002,99.3525539899711
"1505160",2002,58.2660934036412
"2490300",2002,865.540962943256
"2490500",2002,785.632723976465
"2490400",2002,2295.58793571855
"2490100",2002,696.64352411596
"2430085",2002,251.65294144644
"2430270",2002,2470.09926113015
"2430275",2002,497.170574518444
"2430312",2002,1093.327007193
"1160150",2002,657.556678124703
"1160300",2002,858.696950421713
"3235050",2002,9.93290710308065
"4290500",2002,273.975921213627
"1505564",2002,0.00229354575276375
"2430678",2002,1529.37339424968
"2430687",2002,5514.5768724504
"2430700",2002,1615.18448486887
"5590300",2002,34203.9169756434
"2430135",2002,525.533222822219
"2430330",2002,1123.92866304184
"2430350",2002,1748.51307718847
"2430390",2002,1478.45157954462
"2430400",2002,1435.56412917824
"2430520",2002,521.351707291912
"3235350",2002,113.074040732041
"1505190",2002,15.5965141187917
"1505251",2002,4.45538505905142
"1505252",2002,0.0492539667757228
"1505253",2002,10.6382477867423
"5550510",2002,468.507306136104
"5550515",2002,105.337240001187
"5550520",2002,129.18682449311
"5550525",2002,392.817108071526
"5550530",2002,464.60270811613
"3235720",2002,278.961685062393
"5550050",2002,533.544503471174
"5550055",2002,399.52426441526
"5550060",2002,321.991278392263
"5550065",2002,668.975238736806
"5550070",2002,1109.59898704611
"5550075",2002,29.2686061896384
"5550080",2002,839.869514021091
"5550085",2002,61.074449673295
"4200600",2002,352.500346725934
"4200650",2002,2627.9016803006
"2430890",2002,1042.73708179752
"2430950",2002,69.8040110031616
"2430170",2002,1951.41088294166
"2430250",2002,435.824956878194
"2430300",2002,1071.9189946238
"5550305",2002,535.472540514544
"5550310",2002,345.984838934615
"5550315",2002,710.093828906771
"5550680",2002,711.380828761699
"5550685",2002,204.461629047059
"5550690",2002,701.704748912278
"5550695",2002,101.175535138231
"5550095",2002,1107.25250003673
"5550100",2002,42.0753655093722
"5550105",2002,567.004539389513
"5550110",2002,45.6762943498325
"5550115",2002,293.183309902437
"5550125",2002,1319.4295656826
"5550130",2002,129.246399606724
"5550135",2002,199.38673228072
"5550140",2002,1223.3234507544
"5550145",2002,266.985923820292
"5550150",2002,1385.23830133025
"5550160",2002,246.27521462366
"5550170",2002,162.624139282154
"5550175",2002,104.805316576385
"3970050",2002,1465.76227528927
"3970400",2002,573.973365190186
"3970650",2002,1235.15713649519
