"GEOID","year","population"
"2430653",2010,1417.0042247467
"2430665",2010,1273.13768535689
"2430675",2010,946.890292934953
"2430325",2010,988.987135717283
"2430355",2010,6210.98935866591
"2430602",2010,2749.37449644957
"2430832",2010,929.967226930304
"2430937",2010,1488.54093903961
"2430942",2010,1282.22850977424
"1505070",2010,0
"1505140",2010,2063.08710634477
"2430092",2010,1590.62445496922
"1110100",2010,2691.10396904001
"1110250",2010,800.653740470438
"2810630",2010,1925.02097045765
"2430141",2010,430.017144738427
"2430155",2010,670.002669282505
"3935150",2010,548.104440404883
"3970800",2010,547.406064109788
"2810800",2010,5738.32286216419
"4290850",2010,555.227585408837
"5550235",2010,130.603453533899
"5550240",2010,363.101447019726
"5550245",2010,1990.95960206259
"5550250",2010,738.094205291884
"3100700",2010,1433.96179496252
"3100750",2010,2366.75184188422
"5550255",2010,177.761468308046
"3970550",2010,628.134682666757
"3970200",2010,2562.94000883376
"3970100",2010,946.635694008531
"3970300",2010,336.999996924158
"3235670",2010,204.227011570925
"1160450",2010,1282.3771780294
"5550415",2010,383.865380547475
"5550420",2010,51.6154655844439
"5550425",2010,318.641135528684
"5550435",2010,3877.99180074059
"5550440",2010,634.902529260842
"5550445",2010,1590.38826086838
"5550450",2010,938.490119066089
"5550463",2010,417.146425160579
"5550453",2010,298.873634978663
"5550458",2010,171.065980229178
"5550470",2010,322.513654020324
"5550475",2010,178.888399391435
"5550480",2010,463.571469486691
"5550485",2010,556.300208981149
"5550155",2010,14347.6528106326
"5550165",2010,29872.0975590629
"5550353",2010,37283.2599887124
"5550333",2010,2013.32163045258
"5550380",2010,22502.3730812206
"5550405",2010,10536.3233765075
"5550430",2010,6941.7576748773
"5550505",2010,78473.7428611324
"5550540",2010,32470.625250451
"5550640",2010,112670.401026867
"5550660",2010,5881.95018014335
"5550030",2010,493.046252298169
"3235420",2010,749.4108078887
"3235520",2010,1853.56391193741
"3235540",2010,1365.75630479442
"3235600",2010,221.637499314005
"3235650",2010,354.61330276134
"5550575",2010,75.6832544819918
"5550580",2010,0
"5550585",2010,279.616917163134
"5550590",2010,237.523701488273
"5550595",2010,166.957250006264
"5550600",2010,84.0438877418637
"5550605",2010,12.6760630041244
"5550610",2010,27.9768745675683
"5550615",2010,628.222271653358
"5550620",2010,380.378908824641
"5550630",2010,191.47650610609
"2430530",2010,1789.88214060401
"2430540",2010,629.289852902839
"2430730",2010,801.147597019408
"2430735",2010,9125.21266716887
"2430710",2010,1054.03770422594
"2430815",2010,1226.0500210718
"2430820",2010,1535.5876244556
"2430825",2010,1178.37074421965
"2430830",2010,1300.48959848226
"2430860",2010,2250.67883425853
"2430865",2010,1424.99774261151
"2430960",2010,1095.04586945903
"1160650",2010,272.698958876308
"0605500",2010,1653.99827759305
"0605600",2010,705.830790240005
"2810850",2010,2173.63957657758
"2810870",2010,1809.01599395204
"1160600",2010,2483.61565366256
"5550625",2010,517.801320842933
"1150400",2010,995.083605286807
"1150550",2010,395.004908618075
"0855100",2010,185.022213884622
"5550665",2010,50953.8950042941
"2430160",2010,1462.01760925112
"2430260",2010,5856.0188451952
"2430280",2010,2503.93624022494
"2430290",2010,1319.98483556154
"2430862",2010,655.88252665539
"2430880",2010,2211.75599208973
"5550180",2010,32.1074059419334
"5550185",2010,50.0765323487576
"5550190",2010,321.398666531779
"5550195",2010,667.217887996783
"5590075",2010,17000.3360791103
"3340100",2010,848.368945844471
"2430695",2010,15.0071940998314
"5550260",2010,108.999998523854
"1505160",2010,63.0014023536714
"2490300",2010,875.428548264499
"2490500",2010,795.000047101301
"2490400",2010,2265.04579667162
"2490100",2010,686.524502305474
"2430085",2010,279.995480674457
"2430270",2010,2748.29447213139
"2430275",2010,550.888036338729
"2430312",2010,1216.51397472849
"1160150",2010,714.055820693049
"1160300",2010,909.192639371784
"3235050",2010,9.01472507575818
"4290500",2010,313.914042800665
"1505564",2010,0.0280071962624788
"2430678",2010,1565.97302867547
"2430687",2010,5642.96726821127
"2430700",2010,1794.99685670338
"5590300",2010,35500.934975272
"2430135",2010,589.842785615005
"2430330",2010,1250.25929121496
"2430350",2010,1962.97095496936
"2430390",2010,1659.93606533121
"2430400",2010,1611.58177265064
"2430520",2010,541.427303582507
"3235350",2010,103.112792710315
"1505190",2010,19.2004915207872
"1505251",2010,4.99878868700989
"1505252",2010,0.0716771156294271
"1505253",2010,11.9363228308098
"5550510",2010,503.408464194741
"5550515",2010,112.00000072876
"5550520",2010,136.999996572733
"5550525",2010,399.334772743518
"5550530",2010,503.629375032237
"3235720",2010,291.714341053274
"5550050",2010,567.176894330303
"5550055",2010,427.090535114519
"5550060",2010,344.829390574247
"5550065",2010,715.879567513999
"5550070",2010,1202.32347455679
"5550075",2010,33.1406551902182
"5550080",2010,899.590408325195
"5550085",2010,67.0137217564043
"4200600",2010,397.377364165704
"4200650",2010,2963.00057000989
"2430890",2010,1159.58072360042
"2430950",2010,75.9842294322298
"2430170",2010,2109.99466147396
"2430250",2010,471.188569782432
"2430300",2010,1159.1434287982
"5550305",2010,631.299280153587
"5550310",2010,370.205614028964
"5550315",2010,769.912035525776
"5550680",2010,771.634966899641
"5550685",2010,217.277522718534
"5550690",2010,704.533140723725
"5550695",2010,111.00000233762
"5550095",2010,1305.69939344935
"5550100",2010,46.483394802548
"5550105",2010,606.819673237391
"5550110",2010,50.0606145923957
"5550115",2010,311.362073794007
"5550125",2010,1402.93866041349
"5550130",2010,137.051619070757
"5550135",2010,212.10491204774
"5550140",2010,1335.08122622431
"5550145",2010,292.830700722057
"5550150",2010,1515.00970831141
"5550160",2010,270.073077068664
"5550170",2010,180.599889905192
"5550175",2010,115.003396466374
"3970050",2010,1429.99964731258
"3970400",2010,559.832053415661
"3970650",2010,1204.96542555645
"5550328",2010,244.825353811262
"0990120",2010,285.053928898182
"1505451",2010,48.1615095376292
"5550635",2010,372.674975983799
"5550645",2010,2828.23683349974
"5550650",2010,197.999993264675
"5550655",2010,42.9999999291613
"5550670",2010,463.659893792821
"0335550",2010,419.757218408511
"0335800",2010,265.248199625465
"2490200",2010,164.965975132897
"3340200",2010,1140.74963698722
"5550295",2010,237.9696888295
"5550300",2010,1206.52178430557
"1505255",2010,5.00377243002265
"1505256",2010,8.00252638114398
"1505257",2010,26.0984685986332
"1505551",2010,0.00160068166042038
"1505568",2010,3.99999994644895
"2430450",2010,2737.9595063303
"2430480",2010,932.700312869674
"2430502",2010,1731.14402816153
"2430525",2010,1260.53737468918
"2430550",2010,533.007387466898
"2430567",2010,2211.81111201932
"2430643",2010,2027.85061631983
"2430647",2010,1225.50518331546
"5590150",2010,13044.3619457268
"5590225",2010,10548.3529446061
"5590525",2010,13432.3818701353
"2430060",2010,794.94663650438
"2430070",2010,1704.06427103578
"2430090",2010,1121.95341351884
"2430130",2010,692.120493571199
"2810400",2010,2286.86399662055
"2810600",2010,1150.68935572286
"2430315",2010,1435.9519443076
"2430340",2010,1179.48094938064
"2430365",2010,1609.69207263977
"2430370",2010,908.947485158487
"2430425",2010,753.890367590484
"2430430",2010,2153.54722755749
"1505254",2010,0.000844237511046231
"0990750",2010,570.996500783134
"3235800",2010,156.581883169743
"0990850",2010,2234.25708785187
"5550320",2010,520.95231009298
"5550325",2010,283.074605365284
