"GEOID","year","population"
"2430653",2006,1376.85868553352
"2430665",2006,1258.12409816422
"2430675",2006,935.78088770407
"2430325",2006,951.106278981297
"2430355",2006,5973.03826634389
"2430602",2006,2644.05880997873
"2430832",2006,894.355101408054
"2430937",2006,1431.39366368976
"2430942",2006,1233.44624726158
"1505070",2006,0
"1505140",2006,1984.11194020953
"2430092",2006,1485.80808421035
"1110100",2006,2587.19690568692
"1110250",2006,770.729724080064
"2810630",2006,1859.92820551548
"2430141",2006,425.089257513981
"2430155",2006,650.444126626702
"3935150",2006,557.949027272664
"3970800",2006,554.900906153947
"2810800",2006,5543.26806290471
"4290850",2006,519.194403264672
"5550235",2006,127.202740141656
"5550240",2006,348.510861522518
"5550245",2006,1912.29914750112
"5550250",2006,716.947833345563
"3100700",2006,1366.78934356989
"3100750",2006,2262.39817231928
"5550255",2006,161.104340792634
"3970550",2006,621.364745280707
"3970200",2006,2535.59549994493
"3970100",2006,936.549784969317
"3970300",2006,340.841335797079
"3235670",2006,207.239875767074
"1160450",2006,1214.28007654022
"5550415",2006,371.938823811011
"5550420",2006,49.2394364092615
"5550425",2006,307.99677333422
"5550435",2006,3736.78037201683
"5550440",2006,614.711307520978
"5550445",2006,1530.9566195989
"5550450",2006,898.55199717544
"5550463",2006,404.966056723613
"5550453",2006,289.792697634548
"5550458",2006,165.351138542173
"5550470",2006,312.931297078845
"5550475",2006,173.873705528677
"5550480",2006,447.951336484402
"5550485",2006,537.405368332751
"5550155",2006,14317.7632688294
"5550165",2006,28515.3806115368
"5550353",2006,36203.9713732534
"5550333",2006,1981.64285783458
"5550380",2006,22312.8204188438
"5550405",2006,10547.4886194676
"5550430",2006,7055.29879214053
"5550505",2006,72234.9726226626
"5550540",2006,31392.8583648053
"5550640",2006,109618.820085201
"5550660",2006,5347.88715686003
"5550030",2006,476.636665610597
"3235420",2006,737.047180282359
"3235520",2006,1806.77327790062
"3235540",2006,1334.2428384834
"3235600",2006,218.090975642321
"3235650",2006,346.246981667566
"5550575",2006,72.6481708217761
"5550580",2006,0
"5550585",2006,269.173916274682
"5550590",2006,229.31426118029
"5550595",2006,161.348505465779
"5550600",2006,80.676894984208
"5550605",2006,12.1116708918125
"5550610",2006,26.7731473660097
"5550615",2006,603.706135559827
"5550620",2006,365.283418142761
"5550630",2006,176.002929701237
"2430530",2006,1697.19831555168
"2430540",2006,596.5944251213
"2430730",2006,758.847431541402
"2430735",2006,8650.17679115964
"2430710",2006,1041.69409692615
"2430815",2006,1210.94031041411
"2430820",2006,1518.03769811098
"2430825",2006,1149.73680760352
"2430830",2006,1282.63795161127
"2430860",2006,2224.16617014727
"2430865",2006,1408.19769898483
"2430960",2006,1082.15021038954
"1160650",2006,274.954162423029
"0605500",2006,1734.76945421292
"0605600",2006,740.088741299249
"2810850",2006,2099.89164166167
"2810870",2006,1747.76221492616
"1160600",2006,2344.41596034915
"5550625",2006,506.478078115964
"1150400",2006,1026.18655167552
"1150550",2006,407.378953235559
"0855100",2006,182.663013291185
"5550665",2006,50161.086383223
"2430160",2006,1443.24878785321
"2430260",2006,5822.4620329729
"2430280",2006,2474.49508503299
"2430290",2006,1272.1890013182
"2430862",2006,667.837006802263
"2430880",2006,2252.00187175283
"5550180",2006,32.7927323039621
"5550185",2006,47.8159919083118
"5550190",2006,307.077171137556
"5550195",2006,640.281518538133
"5590075",2006,17251.3488728275
"3340100",2006,778.089875124395
"2430695",2006,14.1608426149178
"5550260",2006,104.064541532891
"1505160",2006,60.5886074748505
"2490300",2006,870.44488371443
"2490500",2006,790.226681838365
"2490400",2006,2280.31045278952
"2490100",2006,692.646240920525
"2430085",2006,265.426724403294
"2430270",2006,2604.95678653462
"2430275",2006,523.606648648703
"2430312",2006,1153.56580634262
"1160150",2006,685.195941156794
"1160300",2006,883.337559012632
"3235050",2006,9.47880857156997
"4290500",2006,292.490578398108
"1505564",2006,0.00325551652349532
"2430678",2006,1547.6218918381
"2430687",2006,5578.3560379778
"2430700",2006,1702.69951309278
"5590300",2006,34847.7002042424
"2430135",2006,556.830846113568
"2430330",2006,1185.70489752076
"2430350",2006,1852.62553508964
"2430390",2006,1566.68391075156
"2430400",2006,1521.02282782026
"2430520",2006,530.825643459799
"3235350",2006,108.039925050136
"1505190",2006,16.5899354648536
"1505251",2006,4.71916234998935
"1505252",2006,0.0291335162473843
"1505253",2006,11.2948725394804
"5550510",2006,485.314244749054
"5550515",2006,108.617542737164
"5550520",2006,133.036070689559
"5550525",2006,395.137733806157
"5550530",2006,483.589440111187
"3235720",2006,289.293727066666
"5550050",2006,549.932566483854
"5550055",2006,412.993374940008
"5550060",2006,333.374205622822
"5550065",2006,692.05683914476
"5550070",2006,1155.19723045683
"5550075",2006,30.7504454115406
"5550080",2006,869.455007055542
"5550085",2006,63.9712535014842
"4200600",2006,374.229922172882
"4200650",2006,2790.41716740299
"2430890",2006,1099.74623228631
"2430950",2006,72.7936955604018
"2430170",2006,2029.13867246481
"2430250",2006,453.153710037305
"2430300",2006,1114.53403940015
"5550305",2006,581.902625411749
"5550310",2006,357.887158369645
"5550315",2006,739.477272480261
"5550680",2006,741.172731621424
"5550685",2006,210.689392017201
"5550690",2006,703.041324784615
"5550695",2006,105.973983268254
"5550095",2006,1203.00501596928
"5550100",2006,44.0069864024408
"5550105",2006,586.641190230846
"5550110",2006,47.7979155199137
"5550115",2006,302.166296813637
"5550125",2006,1360.54831901687
"5550130",2006,133.154566846235
"5550135",2006,205.66228724923
"5550140",2006,1283.02172069717
"5550145",2006,279.629612496006
