"GEOID","year","population"
"2430653",2000,1320.06200343714
"2430665",2000,1235.88585333029
"2430675",2000,919.278650404376
"2430325",2000,896.970449801218
"2430355",2000,5633.1131902473
"2430602",2000,2493.52029359056
"2430832",2000,843.441203248264
"2430937",2000,1350.15800448423
"2430942",2000,1162.88917768322
"1505070",2000,0
"1505140",2000,1871.2082576162
"2430092",2000,1341.61618129558
"1110100",2000,2439.12711479538
"1110250",2000,727.648574475528
"2810630",2000,1766.36115035338
"2430141",2000,417.565363769041
"2430155",2000,623.6603544151
"3935150",2000,573.808993633682
"3970800",2000,565.832468651771
"2810800",2000,5264.51884067259
"4290850",2000,475.976337928325
"5550235",2000,120.733313495526
"5550240",2000,328.410162911285
"5550245",2000,1799.92324367771
"5550250",2000,684.54475444369
"3100700",2000,1277.11089210209
"3100750",2000,2107.95742577384
"5550255",2000,142.620025752112
"3970550",2000,611.486273989269
"3970200",2000,2495.06269072536
"3970100",2000,921.604542165167
"3970300",2000,346.699967490489
"3235670",2000,208.807202385746
"1160450",2000,1120.36609482485
"5550415",2000,350.286047511734
"5550420",2000,45.8940737308585
"5550425",2000,294.057608705014
"5550435",2000,3512.89093491773
"5550440",2000,587.770449060015
"5550445",2000,1446.61245586141
"5550450",2000,843.863028937951
"5550463",2000,387.026326546445
"5550453",2000,276.681329485495
"5550458",2000,157.155643966398
"5550470",2000,298.815363480418
"5550475",2000,166.510564150289
"5550480",2000,425.60640885029
"5550485",2000,510.865723115392
"5550155",2000,14270.5745935497
"5550165",2000,26596.2662910362
"5550353",2000,34645.5212685726
"5550333",2000,1931.148473443
"5550380",2000,22022.4039997149
"5550405",2000,10563.9451725179
"5550430",2000,7227.33780696496
"5550505",2000,63797.405561018
"5550540",2000,29840.2268011748
"5550640",2000,105212.316062069
"5550660",2000,4629.66771836008
"5550030",2000,453.093366931193
"3235420",2000,707.74148913542
"3235520",2000,1745.40029443883
"3235540",2000,1286.48669148446
"3235600",2000,210.56865100818
"3235650",2000,333.563548465323
"5550575",2000,68.4260743375635
"5550580",2000,0
"5550585",2000,252.952628446743
"5550590",2000,218.006079197745
"5550595",2000,153.367988424376
"5550600",2000,74.6409427272156
"5550605",2000,11.3497400943306
"5550610",2000,24.9445839393884
"5550615",2000,567.898901778273
"5550620",2000,343.70129710983
"5550630",2000,155.639316682937
"2430530",2000,1566.94137095196
"2430540",2000,550.67604140177
"2430730",2000,700.67753607106
"2430735",2000,7985.24015302086
"2430710",2000,1023.37465310055
"2430815",2000,1188.64943047396
"2430820",2000,1490.85852148337
"2430825",2000,1108.2744590538
"2430830",2000,1256.24201872807
"2430860",2000,2184.96915808826
"2430865",2000,1383.39771768652
"2430960",2000,1063.12194843784
"1160650",2000,278.113498703784
"0605500",2000,1863.36290849253
"0605600",2000,795.09081859428
"2810850",2000,1994.24627127637
"2810870",2000,1659.83716354664
"1160600",2000,2149.1945851809
"5550625",2000,494.30610360601
"1150400",2000,1074.53947007059
"1150550",2000,426.676241994621
"0855100",2000,179.17186898317
"5550665",2000,48994.6632233703
"2430160",2000,1415.73568779678
"2430260",2000,5774.03709516839
"2430280",2000,2430.8897980575
"2430290",2000,1203.82873001219
"2430862",2000,686.608041623316
"2430880",2000,2314.0881199109
"5550180",2000,33.9142102170736
"5550185",2000,44.584204807179
"5550190",2000,286.077736763284
"5550195",2000,602.669838489062
"5590075",2000,17633.1317768884
"3340100",2000,683.072520621121
"2430695",2000,12.9847835057299
"5550260",2000,97.0771864247508
"1505160",2000,57.1392697754964
"2490300",2000,862.808866499925
"2490500",2000,783.315307030138
"2490400",2000,2303.29311841301
"2490100",2000,700.510626581672
"2430085",2000,245.030402359267
"2430270",2000,2405.19912984958
"2430275",2000,483.171379945052
"2430312",2000,1064.72165262224
"1160150",2000,644.167808721224
"1160300",2000,846.947888164512
"3235050",2000,10.1599139881146
"4290500",2000,266.363549202681
"1505564",2000,0.00462103029713035
"2430678",2000,1520.31337478594
"2430687",2000,5483.0105500487
"2430700",2000,1573.14554525653
"5590300",2000,33888.8091673664
"2430135",2000,510.551969570399
"2430330",2000,1094.24786982683
"2430350",2000,1698.65658627965
"2430390",2000,1436.42033056303
"2430400",2000,1394.4935089827
"2430520",2000,516.375278365836
"3235350",2000,115.730356437212
"1505190",2000,15.2123959253513
"1505251",2000,4.32905552908005
"1505252",2000,0.0388507066527382
"1505253",2000,10.3437874470728
"5550510",2000,460.190243669436
"5550515",2000,103.734425344737
"5550520",2000,127.304178975523
"5550525",2000,391.193174137967
"5550530",2000,455.408012154658
"3235720",2000,274.871415428825
"5550050",2000,525.258448981913
"5550055",2000,392.623503011186
"5550060",2000,316.731121052988
"5550065",2000,657.790976958335
"5550070",2000,1087.16754577321
"5550075",2000,28.3353568036109
"5550080",2000,826.062402787851
"5550085",2000,59.6742043532431
"4200600",2000,341.982782137929
"4200650",2000,2550.22113742681
"2430890",2000,1014.30587007784
"2430950",2000,68.3708735217588
"2430170",2000,1913.66852589097
"2430250",2000,427.375963871873
"2430300",2000,1051.28880752801
"5550305",2000,513.713387383148
"5550310",2000,340.188092102297
"5550315",2000,695.938159553567
"5550680",2000,697.473027488508
"5550685",2000,201.18969684653
"5550690",2000,701.070282143191
"5550695",2000,98.8584204139188
"5550095",2000,1061.80753457826
"5550100",2000,40.8159677239601
"5550105",2000,557.33554708038
"5550110",2000,44.5676983743906
"5550115",2000,289.060884840786
"5550125",2000,1299.31722570397
"5550130",2000,127.132222315748
"5550135",2000,196.347355640959
"5550140",2000,1193.85084370989
"5550145",2000,260.910234946292
"5550150",2000,1355.80668422487
"5550160",2000,240.386431617662
"5550170",2000,158.703183158883
"5550175",2000,102.411054421391
"3970050",2000,1474.84176854213
"3970400",2000,577.547207859432
"3970650",2000,1242.80162759244
"5550328",2000,224.205738497258
"0990120",2000,251.995814086637
"1505451",2000,43.702567473807
"5550635",2000,345.545732501894
"5550645",2000,2641.24890040979
"5550650",2000,176.342044629157
"5550655",2000,38.2965039745322
"5550670",2000,430.136416867026
"0335550",2000,428.233446654443
"0335800",2000,267.046608407632
"2490200",2000,167.627919941754
"3340200",2000,917.727330593392
"5550295",2000,211.596461660229
"5550300",2000,1107.97876287624
"1505255",2000,4.32764221706282
"1505256",2000,6.92421470953559
"1505257",2000,23.6910764097993
"1505551",2000,0.00388424249467789
"1505568",2000,3.62784178729635
"2430450",2000,2657.92554036681
"2430480",2000,908.20437965241
"2430502",2000,1680.53140384416
"2430525",2000,1223.55206354618
"2430550",2000,517.437679715054
"2430567",2000,2123.02881020434
"2430643",2000,2108.54387659434
"2430647",2000,1196.09344510231
"5590150",2000,13529.1561883185
"5590225",2000,10173.0483283453
"5590525",2000,13589.8970135006
"2430060",2000,702.017473576807
"2430070",2000,1474.43044023823
"2430090",2000,970.885595500862
"2430130",2000,599.311203406862
"2810400",2000,2380.87702802484
"2810600",2000,1197.88897480008
"2430315",2000,1394.03221975854
"2430340",2000,1087.06467648438
"2430365",2000,1562.75304734803
"2430370",2000,882.381188747073
"2430425",2000,701.193476624569
"2430430",2000,2090.5755873235
"1505254",2000,0.000702615478076041
"0990750",2000,514.917993709911
"3235800",2000,146.768487572686
"0990850",2000,1836.23865168099
"5550320",2000,470.847079916392
"5550325",2000,262.294146994129
"5550343",2000,516.407071363297
"5550348",2000,112.080875329673
"5550358",2000,84.0305574657395
"2430945",2000,422.189732659528
"2175500",2000,190.467384457588
"2175600",2000,294.027859413996
"2430740",2000,1924.32624908658
"2430850",2000,560.422224919381
"2430852",2000,2245.65830109134
"1505560",2000,0.0627278313040733
"1505561",2000,0
"1505562",2000,0
"1505200",2000,786.674546722438
"1505220",2000,224.80578819511
"1505258",2000,3.62784192227991
"1505259",2000,1.83899934389228
"1505260",2000,0
"1505261",2000,5.44169837739901
"1505262",2000,42.5913476755886
"1505263",2000,14.5457259689738
"1505351",2000,0.96665038188803
"1250300",2000,439.737143104298
"5590675",2000,24095.142873775
"1860100",2000,398.580195675499
"1860200",2000,1265.2076484684
"1860300",2000,1648.189230728
"1860400",2000,2169.42099757912
"1110300",2000,1204.49322470874
"1110500",2000,3555.15500849455
"1110600",2000,3519.88768587311
"1110650",2000,8422.47724134581
"0855200",2000,241.618305803739
"1505552",2000,19.9017630813651
"1505553",2000,1.73255374873133
"1505554",2000,12.1858893452118
"4290950",2000,900.086982741952
"1830350",2000,18.3760870862752
"1310200",2000,268.627006404153
"1310300",2000,1284.56321163755
"1310500",2000,937.82504137314
"5590600",2000,15340.9125200356
"0605200",2000,277.616598449235
"0605300",2000,505.688436076431
"1505565",2000,26.0493505014601
"5550700",2000,70.1424557454884
"5550705",2000,764.874553970993
"5550710",2000,446.571549994173
"5550715",2000,108.187239613384
"5550720",2000,37.9517219252884
"5550338",2000,74.2589690946188
"5550365",2000,747.242004510015
"5550370",2000,184.405067502521
"5550375",2000,197.566198188812
"5550385",2000,102.670624238905
"5550390",2000,1059.5977885566
"5550395",2000,496.331424746255
"5550400",2000,344.333333445713
"5550410",2000,302.014831008622
"5590375",2000,19609.0709650803
"5590450",2000,13394.22306386
"5590825",2000,29692.2292472705
"5550090",2000,675.115377226641
"4290990",2000,74.5161956623197
"5550025",2000,12805.4755343219
"5550120",2000,25659.199974342
"1860600",2000,1443.21736930353
"3935250",2000,1674.18945366568
"3935600",2000,1337.16836600935
"0990600",2000,957.756482113153
"1505558",2000,5.41439232790799
"1505559",2000,18.1665803851374
"3235290",2000,365.947248727374
"1505569",2000,18.0662321593263
"0990050",2000,1036.0552725328
"5550675",2000,468.736336956848
"1110400",2000,1311.99294566104
"5550535",2000,567.323874258436
"5550545",2000,504.789794781245
"2430095",2000,542.209786588501
"2430105",2000,1499.98010151296
"2430120",2000,3014.13719266621
"2430142",2000,716.577831943088
"2430150",2000,2853.42372214938
"1310700",2000,648.671415901641
"1505570",2000,5.43119486302021
"1505571",2000,2.72088144253939
"1505555",2000,1.73068203823641
"1505620",2000,5.2752849764729
"1505840",2000,0.866068803262351
"2430870",2000,8015.87643021423
"1505050",2000,6.91881028271564
"1505120",2000,296.758873533097
"1505165",2000,67.3443689346313
"1505180",2000,833.89912111219
"0605100",2000,1227.80374882407
"0605400",2000,3804.52022682927
"1505725",2000,1353.21485427823
"1505740",2000,0
"1505780",2000,78.9329362204735
"2810200",2000,1413.76592170403
"0335100",2000,170.524004527892
"1110725",2000,4858.20359789198
"4200050",2000,649.478545002551
"4200100",2000,298.682706479336
"3100450",2000,837.884401191615
"2430410",2000,450.953334457425
"2430445",2000,278.967158454812
"2430455",2000,860.651231368247
"2430475",2000,1483.54904866103
"2430503",2000,428.949228845311
"2430600",2000,1158.84235302477
"3680180",2000,59.9360413551331
"3680190",2000,22.1551933139563
"3235060",2000,24.5829822122614
"3680140",2000,74.0872877836227
"3680120",2000,5.51136012375355
"3235100",2000,136.305615496487
"2430560",2000,622.698157084225
"5590900",2000,16917.7457751024
"2430630",2000,437.820992768655
"4290250",2000,555.839771717787
"3100600",2000,838.12775195
"2430010",2000,1936.13949915846
"4290350",2000,305.681406974792
"4290800",2000,528.543511532247
"4290700",2000,737.452424089191
"4200270",2000,280.580798379975
"4200340",2000,487.32963901867
"4200700",2000,395.422068561194
"3340400",2000,727.437050896813
"3340500",2000,528.552553489804
"3340600",2000,72.1067147243666
"2430970",2000,515.085087309345
"1860050",2000,738.265962695179
"5550550",2000,186.652884422336
"5550555",2000,305.501171656884
"5550560",2000,318.045852772426
"5550565",2000,238.916901952587
"5550570",2000,58.2825119392073
"3340300",2000,1471.30576074682
"1250150",2000,798.670995866278
"1250650",2000,364.665004147664
"1250700",2000,3221.17265089944
"1250825",2000,4679.52445974273
"2430320",2000,2301.31430469707
"2430382",2000,270.63799235945
"2430500",2000,973.256844979544
"2430510",2000,1310.95466196064
"3340700",2000,699.429254768416
"4290600",2000,224.821214493364
"4290200",2000,613.472420524806
"2430030",2000,830.186558723952
"2430638",2000,1311.19821597823
"3935800",2000,846.084192988641
"2430335",2000,931.724995750294
"5590750",2000,18753.2364621264
"0990065",2000,2426.48385035188
"0990880",2000,921.086105123162
"5550035",2000,167.232235003263
"5550040",2000,233.917751826346
"5550045",2000,359.385769346962
"4200300",2000,1004.61538786408
"4200320",2000,360.679804454148
"4200500",2000,488.821465863437
"4200570",2000,1984.27609174547
"1505556",2000,0
"1505557",2000,0.0298972819000483
"1505572",2000,22.6740125876386
"1505573",2000,0.056993622565642
"1505600",2000,52.6991779501702
"1505660",2000,489.188632491867
"1505700",2000,0.00708398455753922
"5560130",2000,31503.9057128414
"2430040",2000,421.818087218417
"2430435",2000,875.781232866899
"2430650",2000,1943.84192834426
"2430667",2000,1136.44727956026
"2430750",2000,994.135425182205
"2430810",2000,670.644884551002
"2430837",2000,1499.36506778389
"2430845",2000,1517.30364319648
"5560140",2000,30503.8205094533
"3235020",2000,3417.20524159267
"5560110",2000,14467.6783078699
"2430005",2000,2001.27935902213
"1310400",2000,1172.35271633141
"1310600",2000,1738.17316034924
"1505566",2000,0
"5550265",2000,82.7871038094163
"5550270",2000,116.973661305616
"5550275",2000,1091.67361312732
"5550280",2000,1113.13190377736
"5550285",2000,105.388452529907
"5550290",2000,509.923583660275
"5550200",2000,107.340973276296
"5550205",2000,50.0772453732789
"5550210",2000,530.89301858563
"5550215",2000,215.540517941117
"2430693",2000,15.0271733056288
"1160800",2000,708.09568095933
"1860500",2000,3214.25118445736
"2430855",2000,1199.1369497554
"4290750",2000,183.391499899328
"4290450",2000,633.217249751091
"4290150",2000,4.02402232866734
"3680130",2000,110.91612175107
"3680160",2000,23.186240196228
"3235280",2000,226.699999646982
"3235400",2000,457.375750290501
"3235500",2000,157.538748868683
"1150100",2000,1499.57821047016
"2430140",2000,598.475594160394
"0335700",2000,3.53597763646394
"4290650",2000,592.968015884981
"3680170",2000,33.3562978284899
"3680150",2000,47.5354802459478
"3235040",2000,224.032887317568
"1250350",2000,746.739408107795
"1505563",2000,1.19433988630772
"2430075",2000,949.083161927934
"1150250",2000,77.8360939365466
"4290300",2000,729.798680514097
"4290100",2000,421.397145360708
"4290900",2000,378.760408272967
"4290400",2000,282.969722192734
"5550490",2000,143.554379564594
"5550495",2000,55.4974801829085
"5550500",2000,389.50343582686
"2430045",2000,655.594018219253
"2430068",2000,392.129552571678
"2430108",2000,1070.04489884145
"2430110",2000,7771.45640582593
"2430138",2000,883.20785145733
"4760800",2000,241.476246198756
"4760600",2000,185.704420428032
"4760700",2000,749.603455703123
"4760500",2000,14.6348047020729
"2810475",2000,2111.37506828776
"3235250",2000,159.256418540783
"3235270",2000,156.557224877004
"1505567",2000,31.7436167678097
"5550220",2000,333.712306948146
"5550225",2000,483.92771382723
"5550230",2000,650.839384592138
"1310100",2000,543.65684844767
"4290550",2000,706.829338613898
"0855400",2000,1708.42565259782
"0335300",2000,39.9556591659784
"5560120",2000,73967.9129313508
