"GEOID","year","population"
"2430653",2003,1347.89424721589
"2430665",2003,1246.98678183926
"2430675",2003,927.455907896423
"2430325",2003,923.639014735476
"2430355",2003,5800.59314298237
"2430602",2003,2567.46971970456
"2430832",2003,868.514918726102
"2430937",2003,1390.16863208645
"2430942",2003,1198.4870901896
"1505070",2003,0
"1505140",2003,1926.80008164575
"2430092",2003,1411.81448039473
"1110100",2003,2511.98811152603
"1110250",2003,748.857248403614
"2810630",2003,1812.54470615019
"2430141",2003,421.433062871984
"2430155",2003,636.723904952482
"3935150",2003,565.53035795336
"3970800",2003,560.294873154137
"2810800",2003,5402.30213432592
"4290850",2003,494.6246657148
"5550235",2003,123.87547959591
"5550240",2003,338.507862875704
"5550245",2003,1855.35757305846
"5550250",2003,700.596898213844
"3100700",2003,1322.25730369837
"3100750",2003,2184.95303795766
"5550255",2003,151.596452550963
"3970550",2003,616.53221217768
"3970200",2003,2515.22804676469
"3970100",2003,929.049541057826
"3970300",2003,343.756066900727
"3235670",2003,207.606798182882
"1160450",2003,1166.21646621241
"5550415",2003,361.341927641537
"5550420",2003,47.5444378621178
"5550425",2003,300.85284377262
"5550435",2003,3619.33748690074
"5550440",2003,601.023177620023
"5550445",2003,1488.17436737497
"5550450",2003,868.621021403
"5550463",2003,395.773264680989
"5550453",2003,283.332477137446
"5550458",2003,161.187804518617
"5550470",2003,304.737791122549
"5550475",2003,170.189350983594
"5550480",2003,436.715397718363
"5550485",2003,523.899498158484
"5550155",2003,14293.6068626907
"5550165",2003,27538.3258095495
"5550353",2003,35417.5267051185
"5550333",2003,1956.98898388306
"5550380",2003,22167.6272397279
"5550405",2003,10556.4280695856
"5550430",2003,7141.18605448064
"5550505",2003,67885.828078837
"5550540",2003,30607.1897328396
"5550640",2003,107392.623042729
"5550660",2003,4976.66035349877
"5550030",2003,464.758602236863
"3235420",2003,722.688976231642
"3235520",2003,1778.32374193516
"3235540",2003,1312.27558089646
"3235600",2003,215.362292624923
"3235650",2003,339.695276468266
"5550575",2003,70.4974312584382
"5550580",2003,0
"5550585",2003,261.309724636376
"5550590",2003,223.689110375824
"5550595",2003,157.32867877488
"5550600",2003,77.157055972144
"5550605",2003,11.9794784416736
"5550610",2003,26.0161012317985
"5550615",2003,585.209313354688
"5550620",2003,354.483696884767
"5550630",2003,165.559262037743
"2430530",2003,1631.10470282714
"2430540",2003,573.245417873623
"2430730",2003,728.99575176472
"2430735",2003,8310.77867171352
"2430710",2003,1032.50534592013
"2430815",2003,1199.73585114064
"2430820",2003,1504.12314478657
"2430825",2003,1128.79398683751
